name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5,Inf_6,Inf_7,Inf_8,Inf_9,Inf_10,Inf_11,Inf_12
оцарапывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
оцифровать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
оцифроваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
оцифровывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
оцифровываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
очухиваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
ошвартовывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
ошвартовываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
ошизеть,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
ошкуриваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пакетировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
панковать,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
парковаться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пасануть,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
пассероваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
патентоваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пеленговаться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пердеть,нес,неп,,НБII3ж,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
переакцентировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перевербовать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перевербовывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
переголосовать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
передозировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
пережаться,сов,неп,,НБI4м,П1,Пв2,С,,,ППД1в,,,ДП1
перекантоваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
перекодировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перекодироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
перекрикнуться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
переминировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перенаправить,сов,пер,,НБII2л,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
перенастраивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
переоснащать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
переоснащаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
переоформляться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
перепрограммировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перепрограммироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
перепрописать,сов,пер,,НБI6ш,П1,Пв2,С,,,ППД1в,ППС1,,ДП1
перепрофилировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перепрофилироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
перепужать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перепужаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
пересогласовать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перестыковать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перестыковывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
перестыковываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
перетоптаться,сов,неп,,НБI6ч,П1,Пв2,С,,,ППД1в,,,ДП1
переудобрить,сов,пер,,НБII2,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
переудобрять,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
переформулировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
перехотеть,сов,неп,,НБI-II4ч,П1,Пв2!,С,,,ППД1в,,,ДП1
перехотеться,сов,неп,б,НБI6ч-,П1-,Пв2**-,,,,,,,
пернуть,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
перчиться,нес,неп,,НБII1,П1,Пв2!,,ПНД1,,ППД1в,,ДН2,ДП1
поанализировать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
побазарить,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
побалдеть,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
побастовать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
побродяжить,сов,неп,,НБII1,П1,Пв3,С,,,ППД1в,,,ДП3
побултыхаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
побухать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
поваривать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
повонять,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
повосторгаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
повращаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
повыбросать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
повывернуть,сов,пер,,НБI4,П1,Пв2,С,,,ППД2в,ППС3,,ДП1
повывертывать,сов,пер,,НБI3,П1,Пв1,,,,ППД1в,,,ДП1
повыгореть,сов,неп,,НБII2,П1,Пв2!,С,,,ППД1в,,,ДП2
повыгрести,сов,пер,,НБI4б,П7б,Пв2,С,,,ППД1в,ППС2,,ДП6
повыпендриваться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
