name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5,Inf_6,Inf_7,Inf_8,Inf_9,Inf_10,Inf_11,Inf_12
проканать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
пролистывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
пролистываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пролоббировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
промитинговать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
пронадеяться,сов,неп,,НБI5,П1,Пв1,С,,,ППД1в,,,ДП2
прооперировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
проплатить,сов,пер,,НБII3ч,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
проплачивать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
проплачиваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
просирать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
просовещаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
простимулировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
протестировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
протрепаться,сов,неп,,НБI5л&I-II1,П1,Пв2|2,С(2),,,ППД1в,,,ДП1
протрудиться,сов,неп,,НБII3ж,П1,Пв2!,С,,,ППД1в,,,ДП2
прошвырнуться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
прошерстить,сов,пер,,НБII3-,П1,Пв2!,С,,,ППД1в,,,ДП2
проштукатуривать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
проштукатуриваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пужать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
пужаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пукать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
пущать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
разбазариться,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
разбалансировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
разбалансироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
разгерметизировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
разгерметизироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
разгруппировывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
разгундеться,сов,неп,,НБII3ж,П1,Пв2!,С,,,ППД1в,,,ДП2
раздолбайничать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
раздухариться,сов,неп,,НБII2,П1,Пв2!,С,,,ППД1в,,,ДП2
размонтировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
разнепогодиться,сов,неп,б,НБII1-,П1-,Пв3-,,,,,,,
разныться,сов,неп,,НБI5о,П1,Пв1,С,,,ППД1в,,,ДП1
разрегулировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
разрегулироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
разруливать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
разрулить,сов,пер,,НБII2,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
разрыться,сов,неп,,НБI5о,П1,Пв1,С,,,ППД1в,,,ДП1
разукомлектовывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
разукомлектовываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
разулыбаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
рамсить,нес,неп,,НБII3-,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
ранжировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
ранжироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
раскавычивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
раскавычить,сов,пер,,НБII1,П1,Пв3,С,,,ППД1в,ППС2,,ДП3
раскодироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
раскокетничаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
расконвоировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
раскочегаривать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
раскочегариваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
раскочегарить,сов,пер,,НБII2,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
раскочегариться,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
раскритиковаться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
раскурочивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
распломбировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
распсиховаться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
рассиживать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
расскандалиться,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
расслабнуть,сов,неп,,НБI4,П9,Пв2,С,,,ППД2в&5,,,ДП9&10
рассогласовать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
рассогласовывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
рассогласовываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
рассоединить,сов,пер,,НБII2,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
рассоединять,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
рассоединяться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
расстыковать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
расстыковаться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
рассупонить,сов,пер,,НБII2,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
рассупониться,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
растаможивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
растаможиваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
растиражировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
растиражироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
растолкаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
растявкаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
расфокусировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
расфокусироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
расхлюпаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
расходить,сов,пер,,НБII3ж,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
расчехляться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
расшлепаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
реализовываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
реанимировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
реанимироваться,2в,неп,,НБI9у,П1,Пв1,С,ПНД1,,ППД1в,,ДН1,ДП1
реверсировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
реинкарнировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
реинтегрировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
реинтегрироваться,2в,неп,,НБI9у,П1,Пв1,С,ПНД1,,ППД1в,,ДН1,ДП1
реструктурировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
реструктурироваться,2в,неп,,НБI9у,П1,Пв1,С,ПНД1,,ППД1в,,ДН1,ДП1
рефинансировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
рефинансироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
роботизировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
роботизироваться,2в,неп,,НБI9у,П1,Пв1,С,ПНД1,,ППД1в,,ДН1,ДП1
рожаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
роситься,нес,неп,,НБII3ш,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
ротировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
ротироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
рубануться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
самортизировать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
сачкануть,сов,неп,,НБI4,П1,Пв2,,,,ППД2в,,,ДП1
сбацать,сов,пер,,НБI3,П1,Пв1,,,,ППД1в,ППС1,,ДП1
свечереть,сов,неп,б,НБI3-,П1-,Пв1-,,,,,,,
свистануть,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
свольничать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
сгенерировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
сгоношить,сов,пер,,НБII1,П1,Пв2!,,,,ППД1в,ППС2,,ДП3
сегментировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
сегрегировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
селекционироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
семплировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
сжираться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
сикаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
сифонить,нес,неп,,НБII2,П1,Пв3,,ПНД1,,ППД1в,,ДН1,ДП1
скакануть,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
скорефаниться,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
скорешиться,сов,неп,,НБII1,П1,Пв2!,С,,,ППД1в,,,ДП3
скромнеть,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
скурвиться,сов,неп,,НБII2л,П1,Пв2!,С,,,ППД1в,,,ДП2
скуривать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
скуриваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
слевачить,сов,неп,,НБII1,П1,Пв3,С,,,ППД1в,,,ДП3
слухать,нес,пер,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
смакетировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
смастачить,сов,пер,,НБII1,П1,Пв3,С,,,ППД1в,ППС2,,ДП3
смикшировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
смодулировать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
снахальничать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
снивелировать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
сопливеть,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
сосаться,нес,неп,,НБI4,П1,Пв2,,ПНД1,,ППД1в,,ДН1,ДП1
состирнуть,сов,пер,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
состыковаться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
состыковывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
состыковываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
спародировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
спарринговаться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
спрогнозировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
спружинивать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
спрямиться,сов,неп,,НБII2л,П1,Пв2!,С,,,ППД1в,,,ДП2
сраться,нес,неп,,НБI4,П1,Пв2,,ПНД1,,ППД1в,,,ДП1
стебаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
страгивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
стропить,нес,пер,,НБII2л,П1,Пв2!,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
структурировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
стряхать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
стукануть,сов,пер,,НБI4,П1,Пв2,С,,,ППД2в,ППС3,,ДП1
стыбзить,сов,пер,,НБII2+3ж,П1,Пв2!,С,,,ППД1в,ППС5ж,,ДП2
сфоткать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
сфоткаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
схалтурить,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
сцедиться,сов,неп,,НБII3ж,П1,Пв2!,С,,,ППД1в,,,ДП2
сымать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
сыронизировать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
сюсюкаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
табелировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
табелироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
тариться,нес,неп,,НБII2,П1,Пв3,,ПНД1,,ППД1в,,ДН1,ДП1
тенить,нес,пер,,НБII2,П1,Пв2!,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
тестироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
тиражировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
тиражироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
тихарить,нес,пер,,НБII2,П1,Пв2!,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
тихариться,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
токарить,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
торопеть,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
травануться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
труситься,нес,неп,,НБII3ш,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
тулить,нес,пер,,НБII2,П1,Пв2!,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
тулиться,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
тыбзить,нес,пер,,НБII2+3ж,П1,Пв2!,,ПНД1,ПНС2,ППД1в,ППС5ж,ДН1,ДП1
тыкнуться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
тыркать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
удавливать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
удавливаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
удуть,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
ужесточаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
ужесточиться,сов,неп,,НБII1,П1,Пв2!,С,,,ППД1в,,,ДП3
уклюкаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
укушаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
унюхивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
уработаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
урбанизироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
усвистать,сов,неп,,НБI8щ,П1,Пв1,С,,,ППД1в,,,ДП1
услеживать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
усредниться,сов,неп,,НБII2,П1,Пв1,С,,,ППД1в,,,ДП2
усреднять,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
усредняться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
устаканиваться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
устаканиться,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
утонить,сов,пер,,НБII2,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
утониться,сов,неп,,НБII2,П1,Пв2!,С,,,ППД1в,,,ДП2
утонять,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
утрудиться,сов,неп,,НБII3ж,П1,Пв2!,С,,,ППД1в,,,ДП2
ухохатываться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
ухохотаться,сов,неп,,НБI6ч,П1,Пв2,С,,,ППД1в,,,ДП1
фанатеть,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
фарцевать,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
фермерствовать,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
филонить,нес,неп,,НБII2,П1,Пв3,,ПНД1,,ППД1в,,ДН1,ДП1
фолить,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
фонить,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
форматировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
форматироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
фоткать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
фоткаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
фраериться,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
фторировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
фторироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
ханствовать,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
ханыжничать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
хапаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
хапужничать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
харкаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
хеджировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
хрумкнуть,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
хряпнуться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
художничать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
хуярить,нес,пер,,НБII2,П1,Пв3,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
цианировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
чамкать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
чатиться,нес,неп,,НБII2,П1,Пв3,,ПНД1,,ППД1в,,ДН1,ДП1
челночить,нес,неп,,НБII1,П1,Пв3,,ПНД1,,ППД1в,,ДН2,ДП1
чикануться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
чпокать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
чпокаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
чпокнуть,сов,пер,,НБI4,П1,Пв2,С,,,ППД2в,ППС3,,ДП1
чпокнуться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
шабаркнуть,сов,пер,,НБI4,П1,Пв2,С,,,ППД2в,ППС3,,ДП1
шарахать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
шариться,нес,неп,,НБII2,П1,Пв3,,ПНД1,,ППД1в,,ДН1,ДП1
шаркаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
шестерить,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
шизануться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
ширнуться,сов,неп,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
ширяться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
шкодничать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
шмалить,нес,пер,,НБII2,П1,Пв2!,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
шмальнуть,сов,пер,,НБI4,П1,Пв2,С,,,ППД2в,,,ДП1
шмалять,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
шпрехать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
шунтировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
шурупить,нес,пер,,НБII2л,П1,Пв3,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
шустрить,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
экзальтировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
экзальтироваться,2в,неп,,НБI9у,П1,Пв1,С,ПНД1,,ППД1в,,ДН1,ДП1
эксгумировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
эксгумироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
эмитироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
эякулировать,2в,неп,,НБI9у,П1,Пв1,С,ПНД1,,ППД1в,,ДН1,ДП1
юзать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
юзить,нес,неп,,НБII3-,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
юморить,нес,неп,,НБII2,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
юркать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
